column,type,label,description
site,text,,
datetime,timestamp,,
stat,text,,
bcstat,float8,,
bcstat_txt,text,,
black_carbon,float8,,
black_carbon_txt,text,,
bp,float8,,
bp_txt,text,,
co,float8,,
co_txt,text,,
h2s,float8,,
h2s_txt,text,,
int_t,float8,,
int_t_txt,text,,
no,float8,,
no_txt,text,,
no2,float8,,
no2_txt,text,,
nox,float8,,
nox_txt,text,,
noy,float8,,
noy_txt,text,,
noydif,float8,,
noydif_txt,text,,
out_rh,float8,,
out_rh_txt,text,,
out_t,float8,,
out_t_txt,text,,
ozone,float8,,
ozone_txt,text,,
ozone2,float8,,
ozone2_txt,text,,
per_f,float8,,
per_f_txt,text,,
per_f2,float8,,
per_f2_txt,text,,
pm10,float8,,
pm10_txt,text,,
pm10_fl,float8,,
pm10_fl_txt,text,,
pm10b,float8,,
pm10b_txt,text,,
pm25,float8,,
pm25_txt,text,,
pm25(2),float8,,
pm25(2)_txt,text,,
pm25_fl,float8,,
pm25_fl_txt,text,,
pm25b,float8,,
pm25b_txt,text,,
pm25t,float8,,
pm25t_txt,text,,
rwd,float8,,
rwd_txt,text,,
rws,float8,,
rws_txt,text,,
sigtheta,float8,,
sigtheta_txt,text,,
so2,float8,,
so2_txt,text,,
sonicwd,float8,,
sonicwd_txt,text,,
sonicws,float8,,
sonicws_txt,text,,
uvpm,float8,,
uvpm_txt,text,,
rainfall,float8,,
rainfall_txt,text,,
solarrad,float8,,
solarrad_txt,text,,
uv_rad,float8,,
uv_rad_txt,text,,
